imagedir,image,mos_quality,prompt,prompt2,new_prompt
C:/D/VQA/IC/images/abstract_110553.jpg,abstract_110553.jpg,0.5,a black and white photo of a saxophone on a table,a black and white photo of a saxophone with some other instruments in the foreground,a black and white photo of a saxophone with some other instruments in the foreground
C:/D/VQA/IC/images/abstract_111685.jpg,abstract_111685.jpg,0.308823526,the word help is written in red paint on a window,a bathroom sink covered in red paint and the word help written on it with a razor blade,a bathroom sink covered in red paint and the word help written on it with a razor blade
C:/D/VQA/IC/images/abstract_112007.jpg,abstract_112007.jpg,0.264705896,a tall telephone pole with wires hanging from it,a telephone pole with wires hanging from it and houses in the background,a telephone pole with wires hanging from it and houses in the background
C:/D/VQA/IC/images/abstract_11365.jpg,abstract_11365.jpg,0.529411793,"After the wooden mesh sail structure, there is a dome structure composed of metal sheets",a view of the underside of a large metallic structure with a blue sky in the background and some white clouds floating around it,a view of the underside of a large metallic structure with a blue sky in the background and some white clouds floating around it
C:/D/VQA/IC/images/abstract_11367.jpg,abstract_11367.jpg,0.558823526,a black and white photo of the reflection of a building,a black and white photo of a building reflected in the windows,a black and white photo of a building reflected in the windows
C:/D/VQA/IC/images/abstract_114021.jpg,abstract_114021.jpg,0.382352948,a close up of the underside of a ferris wheel,"Close up of the bottom of the sidewalk steel frame, with the steel frame distributed in the shape of umbrella ribs","Close up of the bottom of the sidewalk steel frame, with the steel frame distributed in the shape of umbrella ribs"
C:/D/VQA/IC/images/abstract_11407.jpg,abstract_11407.jpg,0.323529422,a pair of old shoes sitting on a tile floor,a pair of old shoes sitting on top of a tiled floor,a pair of old shoes sitting on top of a tiled floor
C:/D/VQA/IC/images/abstract_11424.jpg,abstract_11424.jpg,0.220588237,a close up of a bunch of ice cubes on a table,a bunch of ice cubes sitting on top of each other in a bowl,a bunch of ice cubes sitting on top of each other in a bowl
C:/D/VQA/IC/images/abstract_11491.jpg,abstract_11491.jpg,0.470588237,"a picture of a window with a blue, green, red and yellow design",an image of a window with colorful squares in the panes and black shutters on the outside,an image of a window with colorful squares in the panes and black shutters on the outside
C:/D/VQA/IC/images/abstract_115154.jpg,abstract_115154.jpg,0.397058815,a close up of a wall with holes in it,a close up of an orange and green background with holes in it,a close up of an orange and green background with holes in it
C:/D/VQA/IC/images/abstract_11541.jpg,abstract_11541.jpg,0.294117659,a close up of some green leaves with water droplets,a black and white photo of a gun on a table next to a glass of water and a loaf of bread with butter smeared all over it,a black and white photo of a gun on a table next to a glass of water and a loaf of bread with butter smeared all over it
C:/D/VQA/IC/images/abstract_115419.jpg,abstract_115419.jpg,0.352941185,"a gun, bread and a glass of water on a table",a close up view of some green leaves with water droplets on them,a close up view of some green leaves with water droplets on them
C:/D/VQA/IC/images/abstract_11667.jpg,abstract_11667.jpg,0.470588237,a close up of a blue cube sitting in a pile of multicolored balls,"A blue object sits on top of a pile of white, yellow and purple beads in a bowl or vase. There is also a small amount of water at","A blue object sits on top of a pile of white, yellow and purple beads in a bowl or vase. There is also a small amount of water at"
C:/D/VQA/IC/images/abstract_117916.jpg,abstract_117916.jpg,0.54411763,a close up view of the roots of a tree,a close up view of the roots of a tree on a rock wall,a close up view of the roots of a tree on a rock wall
C:/D/VQA/IC/images/abstract_118988.jpg,abstract_118988.jpg,0.279411763,a close up of a bunch of sticks on a white background,a close up of a bunch of toothbrushes on top of each other,a close up of a bunch of toothbrushes on top of each other
C:/D/VQA/IC/images/abstract_119737.jpg,abstract_119737.jpg,0.235294119,a black and white photograph of a leaf,a black and white photo of a leaf with its veins,a black and white photo of a leaf with its veins
C:/D/VQA/IC/images/abstract_119812.jpg,abstract_119812.jpg,0.470588237,a close up of a black shoe with white laces,a close up of a shoe with laces tied in a knot on the top of the shoe,a close up of a shoe with laces tied in a knot on the top of the shoe
C:/D/VQA/IC/images/abstract_119852.jpg,abstract_119852.jpg,0.191176474,the number 500 is written in gold on the surface,an image of a gold coin with the number 500 on it,an image of a gold coin with the number 500 on it
C:/D/VQA/IC/images/abstract_119931.jpg,abstract_119931.jpg,0.602941155,a close up of a purple and gold pattern,a purple spiral pattern with circles in the middle of it,a purple spiral pattern with circles in the middle of it
C:/D/VQA/IC/images/abstract_120014.jpg,abstract_120014.jpg,0.264705896,a silver object sitting on top of a concrete surface,There is an oval shaped drop of mercury in the center of the soil,a shiny object sitting on the ground in front of a tree
C:/D/VQA/IC/images/abstract_122005.jpg,abstract_122005.jpg,0.5,a close up shot of water flowing down a wall,a close up shot of water flowing down the side of a fountain,a close up shot of water flowing down the side of a fountain
C:/D/VQA/IC/images/abstract_12281.jpg,abstract_12281.jpg,0.397058815,a vase filled with yellow and red flowers on a table,a vase of flowers sitting on a doily next to a white table,a woman's legs and shoes on a tile floor with a clock in the center of the photo
C:/D/VQA/IC/images/abstract_122816.jpg,abstract_122816.jpg,0.426470578,a woman walking on a floor with a clock on it,a woman's legs and shoes on a tile floor with a clock in the center of the photo,a vase of flowers sitting on a doily next to a white table
C:/D/VQA/IC/images/abstract_122976.jpg,abstract_122976.jpg,0.279411763,a figurine of a woman holding a sword in her hand,a figurine of cinderella holding a broom and standing in front of a white backdrop,a figurine of cinderella holding a broom and standing in front of a white backdrop
C:/D/VQA/IC/images/abstract_123656.jpg,abstract_123656.jpg,0.279411763,a sculpture of a large ball with wheels on it,"A sculpture of an egg on wheels with a black square on top of it, sits on a wooden floor in front of a white wall and a light fixture hanging","A sculpture of an egg on wheels with a black square on top of it, sits on a wooden floor in front of a white wall and a light fixture hanging"
C:/D/VQA/IC/images/abstract_12439.jpg,abstract_12439.jpg,0.220588237,a close up of the side of a yellow car,a yellow car parked in a parking garage with a dog sitting on the hood of the car,a yellow car parked in a parking garage with a dog sitting on the hood of the car
C:/D/VQA/IC/images/abstract_12446.jpg,abstract_12446.jpg,0.132352948,a drawing of a heart being drawn with a pencil,a black and white drawing of a heart with a pencil in the middle,a black and white drawing of a heart with a pencil in the middle
C:/D/VQA/IC/images/abstract_12570.jpg,abstract_12570.jpg,0.25,a pair of scissors sitting on a yellow surface,a pair of scissors that are sitting on top of a yellow surface,a pair of scissors that are sitting on top of a yellow surface
C:/D/VQA/IC/images/abstract_12600.jpg,abstract_12600.jpg,0.514705896,a large yellow sculpture in the middle of a field,A large yellow sculpture in the middle of a wooded area with trees around it. There are no people in the picture but one can be seen in the background,A large yellow sculpture in the middle of a wooded area with trees around it. There are no people in the picture but one can be seen in the background
C:/D/VQA/IC/images/abstract_126024.jpg,abstract_126024.jpg,0.205882356,a picture of a bunch of wires with a yellow background,a picture of a bunch of wires in front of a yellow background,a picture of a bunch of wires in front of a yellow background
C:/D/VQA/IC/images/abstract_126231.jpg,abstract_126231.jpg,0.044117648,a yellow mcdonalds sign against a blue sky,a yellow mcdonald's sign sitting in front of a cloudy blue sky,a yellow mcdonald's sign sitting in front of a cloudy blue sky
C:/D/VQA/IC/images/abstract_12629.jpg,abstract_12629.jpg,0.338235289,a black and white photograph of an iron grate,a black and white photo of an ornate fence with snow on it,a black and white photo of an ornate fence with snow on it
C:/D/VQA/IC/images/abstract_126696.jpg,abstract_126696.jpg,0.14705883,a yellow tube with a light at the end of it,a view of the inside of a yellow tube with light shining through it from the end to the middle,a view of the inside of a yellow tube with light shining through it from the end to the middle
C:/D/VQA/IC/images/abstract_126725.jpg,abstract_126725.jpg,0.102941178,a close up of a banana peel that is yellow,"a close up view of a banana peel with lines and stripes on it, yellow in color","a close up view of a banana peel with lines and stripes on it, yellow in color"
C:/D/VQA/IC/images/abstract_127361.jpg,abstract_127361.jpg,0.323529422,a blurry image of a field of tall grass,The brownish yellow wheat ears sway in the wind,"a blurry picture of tall brown grass blowing in the breeze, with a white object in the foreground and a blue sky in the background"
C:/D/VQA/IC/images/abstract_127564.jpg,abstract_127564.jpg,0.235294119,a wine glass that has been shattered on top of a plate,a wine glass that has been shattered with red wine in the bottom of it,a wine glass that has been shattered with red wine in the bottom of it
C:/D/VQA/IC/images/abstract_127986.jpg,abstract_127986.jpg,0.54411763,a picture of a bunch of leaves on a branch,a bunch of leaves are hanging from a vine in front of a black backdrop,a bunch of leaves are hanging from a vine in front of a black backdrop
C:/D/VQA/IC/images/abstract_12841.jpg,abstract_12841.jpg,0.14705883,a close up of a rusty nail on a white background,a pair of rusty scissors laying on top of a white surface,a pair of rusty scissors laying on top of a white surface
C:/D/VQA/IC/images/abstract_129479.jpg,abstract_129479.jpg,0.455882341,a close up of a glass ornament with a deer on it,a christmas ornament hanging on a tree with a deer in the reflection of the glass,a christmas ornament hanging on a tree with a deer in the reflection of the glass
C:/D/VQA/IC/images/abstract_130262.jpg,abstract_130262.jpg,0.426470578,a close up of a guitar neck and pickups,"a close up of an electric guitar neck and tuning pegs, shot in black and white with sepia tones added to give the image a vintage look","a close up of an electric guitar neck and tuning pegs, shot in black and white with sepia tones added to give the image a vintage look"
C:/D/VQA/IC/images/abstract_130501.jpg,abstract_130501.jpg,0.485294104,a picture of a clock with a lot of gears,an image of a clock with gears and pendulums,an image of a clock with gears and pendulums
C:/D/VQA/IC/images/abstract_13222.jpg,abstract_13222.jpg,0.191176474,a group of gray eggs sitting in a white container,a group of gray eggs sitting on top of each other in an egg carton,a group of gray eggs sitting on top of each other in an egg carton
C:/D/VQA/IC/images/abstract_13266.jpg,abstract_13266.jpg,0.205882356,a fried egg sitting on top of a blue sky,a fried egg sitting on top of a blue sky with some clouds in the background,a fried egg sitting on top of a blue sky with some clouds in the background
C:/D/VQA/IC/images/abstract_13290.jpg,abstract_13290.jpg,0.25,an egg sitting on top of a striped surface,an egg sits on top of a striped surface,an egg sits on top of a striped surface
C:/D/VQA/IC/images/abstract_133122.jpg,abstract_133122.jpg,0.529411793,a spiral staircase with a red light at the top,a spiral staircase with a red light at the top of it's circular structure,a spiral staircase with a red light at the top of it's circular structure
C:/D/VQA/IC/images/abstract_13457.jpg,abstract_13457.jpg,0.191176474,two eggs sitting in metal bowls on a table,two eggs sitting in metal bowls on a black background,two eggs sitting in metal bowls on a black background
C:/D/VQA/IC/images/abstract_135280.jpg,abstract_135280.jpg,0.397058815,a clock in the middle of a bunch of oranges,a bunch of oranges with a clock in the middle of them,a bunch of oranges with a clock in the middle of them
C:/D/VQA/IC/images/abstract_13610.jpg,abstract_13610.jpg,0.205882356,a close up of a seashell on a white background,a seashell with a spiral in the middle of it on a white background,a seashell with a spiral in the middle of it on a white background
C:/D/VQA/IC/images/abstract_13672.jpg,abstract_13672.jpg,0.161764711,a blurry picture of a fish swimming in the water,a fish swimming in an aquarium with blue and orange colors around it,a fish swimming in an aquarium with blue and orange colors around it
C:/D/VQA/IC/images/abstract_136765.jpg,abstract_136765.jpg,0.264705896,a close up of a computer fan with blue light,a close up of a blue light shining in the dark,a close up of a blue light shining in the dark
C:/D/VQA/IC/images/abstract_136873.jpg,abstract_136873.jpg,0.205882356,a close up of an egg with a crown of water,a hard boiled egg being dropped into a bowl of water with the shell shattering,a hard boiled egg being dropped into a bowl of water with the shell shattering
C:/D/VQA/IC/images/abstract_137150.jpg,abstract_137150.jpg,0.352941185,a close up shot of a grill with blue and red lights,a close up view of an escalator with blue and red lights on it's handrail,a close up view of an escalator with blue and red lights on it's handrail
C:/D/VQA/IC/images/abstract_137477.jpg,abstract_137477.jpg,0.323529422,a man surfing on a wave in the ocean,a man riding a wave on a surfboard in an orange tinted photo,a man riding a wave on a surfboard in an orange tinted photo
C:/D/VQA/IC/images/abstract_137803.jpg,abstract_137803.jpg,0.308823526,a close up of a mask with a tongue sticking out,a mannequin with long black hair in front of a purple and pink mask on a table,a mannequin with long black hair in front of a purple and pink mask on a table
C:/D/VQA/IC/images/abstract_140344.jpg,abstract_140344.jpg,0.25,three cigarettes with the words light me written on them,three cigarettes with the words light me on a black background,three cigarettes with the words light me on a black background
C:/D/VQA/IC/images/abstract_140405.jpg,abstract_140405.jpg,0.205882356,"a close up of a fork, knife and spoon on a plate",a fork and knife in the shape of an x-ray on a white plate,a fork and knife in the shape of an x-ray on a white plate
C:/D/VQA/IC/images/abstract_140547.jpg,abstract_140547.jpg,0.102941178,a silhouette of a fork on a blue background,a black silhouette of a fork against a blue background,a black silhouette of a fork against a blue background
C:/D/VQA/IC/images/abstract_140898.jpg,abstract_140898.jpg,0.25,a close up of a red and white flower,"a close up of a red and white flower in a vase with the sun shining through it's petals, against a bright yellow background behind it.","a close up of a red and white flower in a vase with the sun shining through it's petals, against a bright yellow background behind it."
C:/D/VQA/IC/images/abstract_141366.jpg,abstract_141366.jpg,0.352941185,a close up of a piece of glass with a star on it,a close up of a star shaped object with rainbows in the background,a close up of a star shaped object with rainbows in the background
C:/D/VQA/IC/images/abstract_141631.jpg,abstract_141631.jpg,0.294117659,a yellow sign on the side of the road warning of no parking,a yellow sign that says strictly no parking on roads vehicles will be clamped,a yellow sign that says strictly no parking on roads vehicles will be clamped
C:/D/VQA/IC/images/abstract_141760.jpg,abstract_141760.jpg,0.573529422,a colorful abstract image of a swirling shape,an abstract image of colorful lights in a black background,an abstract image of colorful lights in a black background
C:/D/VQA/IC/images/abstract_141793.jpg,abstract_141793.jpg,0.54411763,a close up of a colorful stained glass bird,a close up of a colorful stained glass bird on a lamp shade,a close up of a colorful stained glass bird on a lamp shade
C:/D/VQA/IC/images/abstract_143863.jpg,abstract_143863.jpg,0.323529422,a pair of shoes and a pair of boots on a red background,a pair of high heeled shoes sitting on top of a pile of dirt and debris next to a pair of worn out sneakers,a pair of high heeled shoes sitting on top of a pile of dirt and debris next to a pair of worn out sneakers
C:/D/VQA/IC/images/abstract_144286.jpg,abstract_144286.jpg,0.323529422,a person playing a white piano with their hands,a blurry image of a person playing a piano,a blurry image of a person playing a piano
C:/D/VQA/IC/images/abstract_145743.jpg,abstract_145743.jpg,0.470588237,a man with green and blue paint on his face,a man with green and blue paint on his face,a man with green and blue paint on his face
C:/D/VQA/IC/images/abstract_146834.jpg,abstract_146834.jpg,0.338235289,a close up of a stop sign and a bridge,a close up of a stop sign next to a very large white structure,a close up of a stop sign next to a very large white structure
C:/D/VQA/IC/images/abstract_147277.jpg,abstract_147277.jpg,0.367647052,a stuffed koala bear sitting on top of a guitar,a stuffed animal sitting on top of a toy guitar,a stuffed animal sitting on top of a toy guitar
C:/D/VQA/IC/images/abstract_14761.jpg,abstract_14761.jpg,0.397058815,a close up of paint and brushes on a table,a bunch of paint and brushes laying out on a table,a bunch of paint and brushes laying out on a table
C:/D/VQA/IC/images/abstract_148069.jpg,abstract_148069.jpg,0.279411763,a bunch of bubbles floating in a purple background,a close up of bubbles floating in water on a purple background,a close up of bubbles floating in water on a purple background
C:/D/VQA/IC/images/abstract_14888.jpg,abstract_14888.jpg,0.220588237,a bunch of empty wine glasses sitting on a table,a bunch of empty wine glasses stacked on top of each other,a bunch of empty wine glasses stacked on top of each other
C:/D/VQA/IC/images/abstract_149245.jpg,abstract_149245.jpg,0.352941185,a blurry picture of a disco ball in the dark,"a blurry image of a disco ball with blue and orange lights on it, against a black background","a blurry image of a disco ball with blue and orange lights on it, against a black background"
C:/D/VQA/IC/images/abstract_14933.jpg,abstract_14933.jpg,0.308823526,a close up of two wine glasses on a white table,two glasses with green liquid in them on a white table,two glasses with green liquid in them on a white table
C:/D/VQA/IC/images/abstract_149611.jpg,abstract_149611.jpg,0.367647052,a man with his mouth open and his arms out,A man with his mouth wide open holding a red scarf in front of him as if he is about to throw it into the air while standing on a stage or,A man with his mouth wide open holding a red scarf in front of him as if he is about to throw it into the air while standing on a stage or
C:/D/VQA/IC/images/abstract_151275.jpg,abstract_151275.jpg,0.294117659,a close up of a circular object with a hole in it,a view of the inside of a toilet bowl with water swirling around in it's center,a view of the inside of a toilet bowl with water swirling around in it's center
C:/D/VQA/IC/images/abstract_151312.jpg,abstract_151312.jpg,0.117647059,a close up of a golf ball on a tee,a close up of a golf ball on a tee with a white background,a close up of a golf ball on a tee with a white background
C:/D/VQA/IC/images/abstract_151629.jpg,abstract_151629.jpg,0.132352948,a close up of a white sock on a white surface,a pair of socks laying on top of a white surface,a pair of socks laying on top of a white surface
C:/D/VQA/IC/images/abstract_152122.jpg,abstract_152122.jpg,0.470588237,a bicycle with a basket on the front of it,a bicycle next to a sculpture of a hand holding a ball and some letters on a checkered tile floor,a bicycle next to a sculpture of a hand holding a ball and some letters on a checkered tile floor
C:/D/VQA/IC/images/abstract_152325.jpg,abstract_152325.jpg,0.514705896,an image of a painting of a bunch of fruit,a picture of some fruit and vegetables sitting on a table,a picture of some fruit and vegetables sitting on a table
C:/D/VQA/IC/images/abstract_153176.jpg,abstract_153176.jpg,0.441176474,a person standing in front of a window with a camera,"A person leaning against a wall next to a window with a camera on a tripod in the foreground and a fire hydrant in the background, illuminated by streetlights","A person leaning against a wall next to a window with a camera on a tripod in the foreground and a fire hydrant in the background, illuminated by streetlights"
C:/D/VQA/IC/images/abstract_153861.jpg,abstract_153861.jpg,0.176470593,a close up of the strings of an acoustic guitar,a close up shot of an acoustic guitar's fretboard and tuning pegs in the dark,a close up shot of an acoustic guitar's fretboard and tuning pegs in the dark
C:/D/VQA/IC/images/abstract_154105.jpg,abstract_154105.jpg,0.323529422,a blurry picture of a bull statue in a building,a blurry photo of a bull statue in front of a red background,a blurry photo of a bull statue in front of a red background
C:/D/VQA/IC/images/abstract_155649.jpg,abstract_155649.jpg,0.323529422,a picture of a spatula with a leaf design on it,a picture of a tennis racket in the shape of a leaf on an orange and yellow background,a picture of a tennis racket in the shape of a leaf on an orange and yellow background
C:/D/VQA/IC/images/abstract_15809.jpg,abstract_15809.jpg,0.411764711,a close up of a clock with bubbles around it,a close up of bubbles and the number 345 in red neon lights on a black background,a close up of bubbles and the number 345 in red neon lights on a black background
C:/D/VQA/IC/images/abstract_159220.jpg,abstract_159220.jpg,0.367647052,a picture of a pair of scissors on a black background,an abstract painting of a pair of scissors in front of a black and white background,an abstract painting of a pair of scissors in front of a black and white background
C:/D/VQA/IC/images/abstract_161035.jpg,abstract_161035.jpg,0.323529422,a black and white picture of a bunch of circles,a close up of some metal rings on a white background,a close up of some metal rings on a white background
C:/D/VQA/IC/images/abstract_161461.jpg,abstract_161461.jpg,0.426470578,a rusty letter c on an old wooden door,a rusty hook hanging on the side of an old barn door,a rusty hook hanging on the side of an old barn door
C:/D/VQA/IC/images/abstract_16304.jpg,abstract_16304.jpg,0.323529422,a view of the inside of a cathedral with a clock,the sun is shining through the stained glass windows of a cathedral in the early morning hours,the sun is shining through the stained glass windows of a cathedral in the early morning hours
C:/D/VQA/IC/images/abstract_16310.jpg,abstract_16310.jpg,0.294117659,a close up of some ice cubes that are melting,a bunch of ice cubes sitting on top of each other in a pan with fire underneath them,a bunch of ice cubes sitting on top of each other in a pan with fire underneath them
C:/D/VQA/IC/images/abstract_163688.jpg,abstract_163688.jpg,0.5,a building that has a lot of glass windows,a building that is made out of glass with many windows on it,a building that is made out of glass with many windows on it
C:/D/VQA/IC/images/abstract_16401.jpg,abstract_16401.jpg,0.044117648,a close up of a digital clock with red numbers,a close up of a digital clock displaying the time 12:15,a close up of a digital clock displaying the time 12:15
C:/D/VQA/IC/images/abstract_16440.jpg,abstract_16440.jpg,0.426470578,a close up of a pile of green celery,a pile of green celery sticks sitting on top of each other in a black container,a pile of green celery sticks sitting on top of each other in a black container
C:/D/VQA/IC/images/abstract_164622.jpg,abstract_164622.jpg,0.308823526,a fire hydrant sitting next to a broken window,a fire hydrant sitting in front of a brick building with a hole in the window next to it,a fire hydrant sitting in front of a brick building with a hole in the window next to it
C:/D/VQA/IC/images/abstract_16654.jpg,abstract_16654.jpg,0.5,a close up of a colorful design on a white background,"a close up of a stained glass window with red, yellow and blue flowers on it","a close up of a stained glass window with red, yellow and blue flowers on it"
C:/D/VQA/IC/images/abstract_166972.jpg,abstract_166972.jpg,0.191176474,a row of pegs with a pink triangle on top,"a row of toothpicks with blue, yellow and pink balls on the ends are lined up in front of a white backdrop","a row of toothpicks with blue, yellow and pink balls on the ends are lined up in front of a white backdrop"
C:/D/VQA/IC/images/abstract_16701.jpg,abstract_16701.jpg,0.235294119,a close up of a red and white design,a close up of a red and white circular design on a wall,a close up of a red and white circular design on a wall
C:/D/VQA/IC/images/abstract_167065.jpg,abstract_167065.jpg,0.338235289,a close up of a bunch of pins on a piece of cloth,a bunch of pins are lined up on a piece of cloth,a bunch of pins are lined up on a piece of cloth
C:/D/VQA/IC/images/abstract_167195.jpg,abstract_167195.jpg,0.235294119,a person holding a pair of orange scissors in their hand,a person is holding a pair of scissors in their fist,a person is holding a pair of scissors in their fist
C:/D/VQA/IC/images/abstract_16754.jpg,abstract_16754.jpg,0.308823526,a close up of a green and white guitar pick,A close up of a green and white electric guitar pickup cover on a guitar neck with wires in the foreground. this could be a promotional shot for a new line,A close up of a green and white electric guitar pickup cover on a guitar neck with wires in the foreground. this could be a promotional shot for a new line
C:/D/VQA/IC/images/abstract_168087.jpg,abstract_168087.jpg,0.220588237,a pair of scissors on top of a piece of paper,a pair of scissors sitting on top of a piece of paper with a ball of stone underneath it,a pair of scissors sitting on top of a piece of paper with a ball of clay underneath it
C:/D/VQA/IC/images/abstract_169612.jpg,abstract_169612.jpg,0.117647059,a glass door with a blue button on it,a close up of a glass door with a blue light on it,a close up of a glass door with a blue light on it
C:/D/VQA/IC/images/abstract_170541.jpg,abstract_170541.jpg,0.235294119,a close up of a vase that is red and yellow,a close up of a red wine glass on a table,a close up of a red wine glass on a table
C:/D/VQA/IC/images/abstract_170546.jpg,abstract_170546.jpg,0.044117648,a satellite dish on top of a building against a blue sky,an airplane flying through a blue sky with a clock tower in the foreground,an airplane flying through a blue sky with a clock tower in the foreground
C:/D/VQA/IC/images/abstract_170781.jpg,abstract_170781.jpg,0.117647059,a black and white photo of a pencil and eraser,Black and white photograph of a pair of scissors on top of a piece of paper with a drop of ink on the end of one of the scissor blades,Black and white photograph of a pair of scissors on top of a piece of paper with a drop of ink on the end of one of the scissor blades
C:/D/VQA/IC/images/abstract_17193.jpg,abstract_17193.jpg,0.602941155,a large display of crayola crayons in different colors,a display of many different colored crayons in a glass case,a display of many different colored crayons in a glass case
C:/D/VQA/IC/images/abstract_172574.jpg,abstract_172574.jpg,0.558823526,a close up of a colorful stained glass window,a close up of a piece of stained glass with colorful designs on it,a close up of a piece of stained glass with colorful designs on it
C:/D/VQA/IC/images/abstract_173028.jpg,abstract_173028.jpg,0.367647052,a blurry image of a colorful light in the dark,a blurry picture of colorful lights on a black background,a blurry picture of colorful lights on a black background
